cat,label,review,predict_before,predict_after
书籍,1,总是为浑浑噩噩的生活而苦恼，总是因为没有足够的时间而无所适从，时间管理虽说是一些老生常谈的技法，但是坚持下来真的很有效，每当下班回家的时候，都会有一种满足感，是一种发自内心的充实和兴奋。这本书买回家就看完了，再加上执行过程中又进行了温故知新。如果你实在不知道如何安排自己的时间，买一本看看还是有好处的。起码从心里上，你会有工作和学习的欲望。因为时间不会因任何事情而停止。,把时间当作朋友（推断）,哈克流浪记
书籍,1,总是容易被别样的爱情所感隐忍的爱情  结局也是一样的完美如斯喜欢这样的爱情  真的不知道该说些什么我很感谢这些写出优秀的作品  让我感受心痛 甜蜜 羞涩在现实生活中 这样独有的爱情很难吧我有时候真的在做梦可以回到很久以前  可以去爱这样的男子感受这样的男子的心胸气度 感受这样男子的爱恨情仇拥有这样的爱情这种念头或许直至死亡也无法成为现实所以 我沉迷于古代小说 无法自拔  几乎爱恋,古代小说（推断）,非暴力沟通
书籍,1,总的来说这本书还不错，就是内容好像少了点，看完整本书就一个中心思想，中医方面内容具多，象我们这样没有中医基础的，不会操作也不敢操作；当然，对一些简单的操作可以做，比如现在我每晚都给孩子按脚，刺激眼的位置，主要是俺两口子都是近视，前几天孩子眼皮长了个小白点，就按了两晚上，没有了，也不知是不是按的原因，希望是吧，看看还是有好处的！,儿童经络按摩使用手册（推断）,呼啸山庄
书籍,1,总的来说是受益匪浅！看过许多跟中医沾边的书，一直对于自身体质都比较困惑，总是兼具寒性体质和热性体质两者的特点，现在终于知道了，这是湿。原先没想到一些不经意的生活习惯会引起这么多后果，原来身体已经发出了这么多的预警信号了！书中养生有很多是通过穴位实现的，本书关于穴位介绍比较适合没有中医基础的人，可操作性较强。另外还有一些实用小药方及简单的健身方式。开卷有益，值得反复读。,求医不如求己（推断）,索罗斯传
书籍,1,总的来说，这本书如同男主安倍晴明一样，平平淡淡的，波澜不惊。很舒适温暖的FEEL没有大风大浪，尔虞我诈。有的只是午后樱花树下的浪漫情怀！女主没有多能干多聪明，好吃懒做！但不让人讨厌。文中也会有些令人捧腹的话语和想法但是就是由于太平平淡淡了，我都有点想不起书中的内容了，印象不深。作者的文笔不错，人物塑造的很好，没有偏离安倍晴明本来的性格。是一篇绝对的清水文吧,安倍晴明（推断）,汤姆走丢了
书籍,1,字很大，买一本放在家里给孩子查，另一本小的让他带到学校去。从1年级下学期开始老师就要求不认识的字要自己查，问题是作业里的生字太多，孩子的眼睛哪经得起这样折腾。孩子现在二年级，上次检查班上已有不少孩子视力下降，有的已戴上眼镜，所以赶快买上这本大版的字典。各位本爸爸妈妈注意，因为大、小版的页码不同，所以小版的也要买一本放在书包里。学校里老师有时会有查字典比赛什么的，页码不同又麻烦了。,新华字典（推断）,情海星空
书籍,1,自己在生孩子前后买了好几本育儿书，看下来这本最实用。因为他很体贴，最能消除新妈妈的紧张。新妈妈需要担惊受怕的事情已经很多了。这本书总是说，没关系，这样也是可以的，只要你的孩子常常笑，有活力，不要紧盯着身高体重大便颜色等问题不放。虽然我不喜欢其中有些日本化的语气，但是相比其他的书，他真的很好。日本人做事情真的很体贴的。我们什么时候能做出自己的经典啊～,育儿书（推断）,好饿的毛毛虫
书籍,1,自己马上就有宝宝了，期待着宝宝降临人世，所以提前看看家教方面的书籍。看了这本书，真的很好。不但丛中可以学到教育孩子的方法，自己也丛中收获很多。犹太民族经历了那么多的战争、追杀、迫害还能依然存在，而且很多犹太人成了世界首富。并在其他领域取得了骄人的成绩，不可以不承认，这个种族的优秀，也不能否认这和他们从小接受的教育存在着重要的关系。这本书值得看值得仔细研究。,犹太人的家教智慧（推断）,常乃德的作品
书籍,1,桩桩的文字让人读起来非常舒服，如清泉细流沁如人心，我一直很喜欢。在这本书中也感受到作者的用心，在不断求变求新。作者为女猪设定的前世男身，让我接受了很久，看着总有些别扭。呵呵～故事构架大气而精巧，其中尔虞我诈的算计太多，旁支伏笔也多，更像是一部江湖大戏而非言情，故事中情感描写略显薄弱，这方面个人感觉不如“青萝”。,蔓蔓青萝（推断）,阶梯数学
书籍,1,茱莉的生活一下子从繁华的社交界转入了别人眼中劳累而无趣的孤儿院中，她所面对的人也从八面玲珑的成人中转入了困苦无依的孩子们中，她的亲密伴侣从一个人人眼中的有魅力的成功男士变成一个硬直、了无情趣的医生，当中的转变，心情的跌荡起伏很难用三言两语说清楚，偏偏在这本书里，作者用儿童都能明白的浅显语言说了个一清二楚，而且叫人接受这些转变十分自然合理，功力非同一般。,小妇人（推断）,傅雷家书
书籍,1,重新喜欢上明晓溪的作品，重新回到梦幻的世界里。感觉真好。高中的时候超级喜欢明晓溪的作品。尤其是水晶般透明系列，看了超级有感觉。大一的时候，在宿舍还有说到泡沫之夏。本以为同学不知道，结果却出乎人意料：每个人都说得很起劲。不是单纯的谈情说爱。里面的人物可以反射到自己生活中。里面的爱情&#183;&#183;&#183;&#183;&#183;&#183;&#183;&#183;,水晶般透明系列（推断）,辛夷坞的作品
书籍,1,终于买到心心念念的书了，就因为当初的一念，以至于等到这套书时，已经过了很长时间，不论因为什么原因，当我发现当当又有了这套书时，便毫不犹豫的写了订单。我想这是相当有意义的评吧，在我买了这么多书后，这是我的第一个评论，不知道为什么，只是被蕊蕊所打动吧，爱的绝然，爱的一无返顾，有时候回忆，总是在感叹，像燕王朱棣这样的人，爱耶？恨耶？曲曲折折，幽幽怨怨，情爱两重天，于我，动心不已。,江山为聘（推断）,编程之美
书籍,1,终于看完杜拉拉2，感觉有种狐尾续貂。里面的理论对刚进入职场的新手来说实在太深奥。宽带薪酬，测评系统等全部是HR的内容。题目真的不应该叫杜拉拉升职记。可以换成HR方法大全？人物也越来越多，越来越不相干。最后的结尾更难让人明白，别再写杜拉拉三了，佳作就是这样写续写续写废的。就像是还珠格格系列,杜拉拉2（推断）,野性的呼唤
书籍,1,中华民族历史悠久，很赞同这样的看法：学成语，是学古文化的一种好的方式。成语里有文学、历史、军事与哲学，小孩子喜欢的是故事、情节，通过对比学习，不仅让孩子听了故事，同时让他们牢牢掌握了一些成语。小的时候我就很喜欢那些出口成章、成语就在嘴边的那些人。长大了就开始通过各种手段自学、或者从别人那里学习。不仅我要学，孩子长大了，也让他学。,成语故事（推断）,丁玲的作品
书籍,1,中国也出了一本情感的书，看完了，很不错的一本让女人更加了解男人的书。本人阅读的时候，就有很多同感，因为是里面有提的行为，我作为一个女性的角度，几乎都有，而且很贴切。也让我的眼界放宽了，看到了很多男人和女人不同的东西。看待事情也不会像以前那样的主观了，此书值得一看，作为一位现代女性，不独这本书的话，有点遗憾。因为你已经与社会脱节了。,男人来自火星，女人来自金星（推断）,必须正视的内政“愤懑”
书籍,1,质量不错，适合3岁左右小孩玩。每一页边上都有已经打好的虚线孔，直接将页面撕下来就行，都是很简单的手工，练习孩子剪图形，折纸。我儿子3岁半，特别喜欢做，就是用剪刀用不太好，正好练习啦。有些东西做出来“实用性”还挺强，像太阳帽，刚好能戴在儿子头上，拖鞋，他也刚好能“穿”，儿子自己还说呐“大小正合适”，呵呵。让他练习手工的同时还有很多乐趣，超喜欢。,3岁手工书》（推断）,好饿的毛毛虫
书籍,1,值得所有中国年青人好好思考的一本书，似乎讲的道理多是太过理想的言论，太过脱离大众实际的层面，其实不然，当今的国人，就是太过实际，年纪轻轻就现实到一心一意赚钱过日子人生中真的应该有些无关物质，无关利益的追求，其实每个人在年幼时都是有过的，只是现在那段记忆结束得越来越早了当每个人走到人生终点时，才会发现你记得的只有那些单纯而不实际的时光，留下的只有那些曾感动过自己的记忆,理想国》（推断）,六祖坛经
书籍,1,之所以买这本书，是因为这次实习我要跟着老师下乡，去随州作调查，我准备做关于农村留守妇女社会交往的主题，所以买了这本书先了解一下。看过之后，确实有挺大触动的，随着青壮年男性劳动力向城市流转，留守妇女的生活开始发生质的转变，这其中有喜悦，也有不为人知的苦涩。推荐大家读这本书，特别是女性读者。同为女人，我们应该感受到更多......,中国农村留守妇女（推断）,说雍正
书籍,1,之前在网上已经看过了，买回来是想收藏的，本来不想再看了，不是因为不好看，而是因为怕再次伤心，上次看完，之后的一个礼拜我都沉静在那挥之不去的心痛和伤感中，但是这次还是不由自主的翻开了，也许一切都是命运的安排，凝夕和司夜两个就像夕阳和夜晚，永远不能共存，两个不懂爱的人在彼此的伤害中感受爱，也许从凝夕出生开始她就注定要像樱花凋谢那般死去~~美丽还惨烈.....,夜凝夕（推断）,黑背系列
书籍,1,之前看评论有说收到的书箱子坏掉了，也有些担心，呵呵！不过寄来的箱子真的很好，跟之前金庸全集的箱子一样好。对我来说书的大小也适中，因为我就是喜欢小版本的图书，之前也收了一套唐码的世界名著口袋本。说机器猫哈，印刷的也很好，每本的封面跟之前的老版也一样，里面的东西有人说每本都有一两处变的，惭愧~我没看出来，可能之前就没看全过吧！对我来说我是非常喜欢了！,机器猫（推断）,罗尔德·达尔的作品
书籍,1,正在为与22岁的儿子沟通障碍发愁，发现了这样的一本好书。我是第一次读龙应台的书，流畅的文笔，深深的内涵，对儿子的关爱，平等的推心置腹，思想观念的碰撞火花竟然这般的美丽而感人。佩服，欣赏！两代人之间的鸿沟在优美的文字中慢慢地弥合，让我回味、思考了很多。推荐给我的儿子、朋友们。,亲爱的安德烈（推断）,人生若只如初见
书籍,1,正如书的名称，三毛的这本早期作品不同于后期成熟后那个乐观坚强的三毛，而是记录了当三毛还是二毛时的经历，心境，是她年少时那个爱做梦，有些神经质，伤感的雨季的缩影。也许成就并不是很高，然而喜欢三毛的朋友却可从中窥见那个让他们着迷的女子是怎样成长起来的。而正处于那个生命阶段的读者也许会产生共鸣，发现原来他们在这个时候的想法并不是孤独，没有人明白的。,雨季不再来（推断）,把时间当作朋友
书籍,1,正如标题一般，如果要给王小波冠以什么名号，不如就称他为“一只特立独行的猪”王小波一直是一个有争议的作家，但你不得不承认他的天马行空的才华，和不同于世俗甚至有些惊世骇俗的观点和想法。他是一个用笔思考、用生命思考的作家。读他的文字，感受生命的重量，实在是一件幸福又痛苦的事。好了，不多说，走进王小波的精神家园，看看他怎样想，怎样活。,一只特立独行的猪（推断）,影响力
书籍,1,正本书是同事让我代买的，她是位国家二级心理咨询师，同时她又是位很称职的妈妈，她女儿刚满4岁，按她的话说这个年龄是接受家庭教育的好时机，她常会买些儿童看的书给孩子阅读。我同事说这本书的内容围是围绕着作者女儿成长的经历写的，其中，作者的做法对家长们在家庭教育上有一定的借鉴作用，一般可阅读到到孩子上学后，还是比较值得购买的。,好妈妈胜过好老师（推断）,李跃儿的作品
书籍,1,整体来说，本书还是不错的。至少在书中描述了许多现实中存在的司法系统方面的问题，这是值得每个法律工作者去思考的。尤其是让那些涉世不深的想加入到律师队伍中的年青人，看到了社会特别是中国司法界真实的一面。缺点是：书中引用了大量的法律条文和司法解释，对于已经是律师或有一定工作经验的法律工作者来说有点多余，而且所占的篇幅不少，有凑字数的嫌疑。整体来说还是不错的。不要对一本书提太高的要求。,本书（推断）,蜡笔小黑
书籍,1,真想把一套看完之后再写评论，不过“当当真诚邀请”，呵呵其实想想这本书确实也值得写，刚看的时候觉得这本书是“盛名之下，其实难副”，比我想象中的平淡，但是看着看着就觉得想看下去，和我们记忆中的那个明朝的开国皇帝朱元璋并不太一样，大家都知道他在建国之后是如何对待以前的战友的，可是看了这本书觉得这人还挺符合一个皇帝的标准的。哈哈，以皇帝的标准看问题,明朝那些事儿（推断）,与神对话
书籍,1,真是一本让人拿起来就不认放下的好书，语言通俗易懂，没有什么让人感觉晦涩难懂之处，看了以后感觉触目惊心，迫不及待的向家里人大作宣传。原来我们看到的花花绿绿包装下的那些美丽食品竟有着如此多的内幕，仔细记下书中的点点滴滴让我明白了怎样才能冷静客观的选择健康食品，尽量避免把垃圾食品带回家，从此以后我再买东西时都更加留心食品配料表，真是明明白白购物了！,明明白白购物（推断）,作文三书
书籍,1,真是太爱史蒂夫了，能够这么洞悉女人心态和秘密，还把男人的心理也全盘托出，又还这么风趣幽默，难怪那么多和他上过床的女人分手后还和他是好朋友，希望他能活的久一些，因为史蒂夫能够带给她们快乐( ⊙ o ⊙ )啊！史蒂夫很棒很帅，适合做好朋友，一旦结婚应该也是个不错的老公！发现世上所有的男人都差不多，原来老外男人也最喜欢女人牛仔裤、T恤衫、马尾辫，不管你多大年纪，(*^__^*) 嘻嘻……,史蒂夫（推断）,好饿的毛毛虫
书籍,1,真是不敢相信，曾经那么相爱的人，也会在时间的长河里越走越远。故事的结局是他们离婚了，但这并不是唯一的。男主角在强大的诱惑下没出轨，这也不是唯一的。他们离婚的原因是大家都累了，再这么纠缠下去，会有更多的人为此伤心。于是，男女主角最后想开了，离了。但在我们的生活中，有太多的男女主角想不通，为了沉重的虚名而勉强生活在一起。是离，还是不离，这真是个难以回答的问题。,围城（推断）,春秋大义
书籍,1,真没想到我会看着看着就哭了~如果说第一本书《暮色》给我的感觉是甜蜜，那么这一本书就是悲伤。从爱德华转身离开贝拉的那一刻开始，贝拉心被掏空了，而我也难受到了极点。很奇怪，这本书的描写很贴近我们谈恋爱时的感受，简直太真切了。贝拉出现幻觉时，我觉得她已经有点疯了，已经失去自我了，爱德华带走了她的一切，她甚至用伤害自己的方式来换取一瞬间爱德华的幻觉，可怜的女孩啊！我们在谈恋爱时，不也曾这样迷失过自我么？在查理向爱丽丝描述贝拉刚失去爱德华时的表现，我的心不停在抽痛，太可怜了，贝拉！我用了三天的时间把这本书完整看完，哭了大半天，描述得太真切了！,新月（推断）,父母是孩子最好的医生
书籍,1,真诚坦率的讲述了自己，不仅仅有光纤的一面还有猥琐的一面（因文化差异导致的放荡行为让人不能接受和理解！抱歉雅尼）。他混沌过，也颓废过，但是关键时刻他总能找回自己－本质的自己!他最终的成就归公于超强的自我控制力和专注力，几乎是常人难以想象和理解的！也许，没有这样的付出和坚持，不可能创造奇迹。这本书让我认识了雅尼，也深深认识到成功所需付出的代价。渴望成功而又没有方向的人该看看。,雅尼（推断）,好孩子的成功来自妈妈1%的改变
书籍,1,這是一個偉大的人，絕對可以用這個詞來形容他：葛瑞格.摩頓森我覺得他完全有資格得諾貝爾和平獎。平凡的他卻做著不平凡的事，且十年如一日的堅持，很難不被他的這種執著打動。他讓我們知道了人性的另一個閃光點！敬上第一杯茶，你是一個陌生人；再奉第二杯，你是我們的朋友；第三杯茶，你是我的家人，我將用生命來保護你。在這個另人感動的友情世界里，陣陣茶香撲面而來，清香襲人,三杯茶（推断）,亦舒的作品
书籍,1,這是北影的教材，北影的攝影專業的實力應該是全國最強的，所以它的教材也不會錯了。這本書的作者是顧錚，瞭解攝影的人都會知道他的，他是我國目前比較權威的攝影史和攝影理論家了。這本書的條例很清晰，語言也很簡潔，沒什麼瑣碎的話，作者的一些看法也很勁道。但唯一的缺點就是裏面的黑白版的圖（最後又十多頁是彩圖，前面都是黑白圖）印的過黑了，有點失真。,世界摄影史（推断）,世界上最伟大的记忆书
书籍,1,这一系列的书都还不错，我觉得书本比较小，古文书有注音注解，可以带在包里，有空的时候就看看！我其实不太喜欢大本头、精装豪华版、摆噱头的书，喜欢这种排版、印刷比较考究的平装书！声律启蒙比较押韵，适合于大声朗读！只是编排时注解比较少，对一些韵律和诗词体制没有怎么介绍，一般读者可能搞不懂，读起来效果就要打折扣了！等了快一年了，这套书还没有买齐，有几本总是没有货，为什么呢？,声律启蒙（推断）,不抱怨的世界
书籍,1,这一套书，到了之后，我一本本翻看。然后每天一本带回去给宝贝女儿看。我喜欢的，也是她喜欢的。卡梅拉说，下蛋下蛋，这世界上一定有比下蛋更有趣的事。卡梅利多说，睡觉睡觉，这世界上一定有比睡觉更有趣的事。在我们日复一日的学习工作后，这样的童话书给我们新的梦想和对生活的新的体验。生活中总有闪光点，但首先要有一颗带童稚的心灵。,不一样的卡梅拉（推断）,Mike Gayle的作品
